TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires,IMDB ID,IMDB - Note moyenne,IMDB - Nombre de votes,Année de sortie,Genres,Durée (en min.)
LA NUIT AU MUSEE,2018-01-03,France 4,Etats-Unis,1.104128,4.3,Wednesday,oui,tt0477347,6.5,387979,2006,"Adventure,Comedy,Family",108
LE HOBBIT : UN VOYAGE INATTENDU,2018-09-27,France 4,,1.050552,5.8,Thursday,non,tt0903624,7.8,893077,2012,"Adventure,Fantasy",169
THOR,2018-11-29,France 4,Etats-Unis,1.050552,4.4,Thursday,non,tt0800369,7.0,920484,2011,"Action,Fantasy",115
"E.T., L'EXTRATERRESTRE",2018-04-25,France 4,Etats-Unis,0.987904,3.7,Wednesday,non,tt0083866,7.9,448417,1982,"Adventure,Family,Sci-Fi",115
LES EVADES,2018-01-28,France 4,Etats-Unis,0.987904,4.2,Sunday,non,tt0111161,9.3,2984330,1994,Drama,142
CAPTAIN AMERICA : FIRST AVENGER,2018-04-01,France 4,Etats-Unis,0.987904,4.0,Sunday,non,tt0458339,6.9,918040,2011,"Action,Adventure,Sci-Fi",124
LE SEIGNEUR DES ANNEAUX : LES DEUX TOURS,2018-10-03,France 4,,0.933824,4.9,Wednesday,non,tt0167261,8.8,1841667,2002,"Adventure,Drama,Fantasy",179
LE SEIGNEUR DES ANNEAUX : LE RETOUR DU ROI,2018-10-04,France 4,,0.933824,5.5,Thursday,non,tt0167260,9.0,2042249,2003,"Adventure,Drama,Fantasy",201
UN TAXI POUR TOBROUK,2018-10-08,France 5,France,1.400736,5.7,Monday,non,tt0054425,7.2,2142,1961,"Drama,War",95
LE TRAIN SIFFLERA TROIS FOIS,2018-11-26,France 5,Etats-Unis,1.284008,4.7,Monday,non,tt0044706,7.9,112440,1952,"Drama,Thriller,Western",85
L'HORLOGER DE SAINT-PAUL,2018-09-17,France 5,France,1.050552,4.4,Monday,non,tt0071622,7.1,2928,1974,"Crime,Drama",105
DOUZE HOMMES EN COLERE,2018-10-15,France 5,Etats-Unis,1.050552,4.3,Monday,non,tt0050083,9.0,902440,1957,"Crime,Drama",96
UNE AFFAIRE DE FEMMES,2018-05-07,France 5,France,0.992188,4.5,Monday,non,tt0096336,7.5,5959,1988,"Drama,History,Romance",108
POLICE PYTHON 357,2018-11-12,France 5,France,0.992188,4.3,Monday,non,tt0075082,6.9,2139,1976,"Crime,Drama,Thriller",126
MILLE MILLIARDS DE DOLLARS,2018-10-29,France 5,France,0.992188,4.1,Monday,oui,tt0082749,7.0,1036,1982,"Crime,Drama,Thriller",132
IL ETAIT UNE FOIS EN AMERIQUE,2018-12-17,France 5,Etats-Unis,0.992188,5.5,Monday,non,tt0087843,8.3,388772,1984,"Crime,Drama",229
LES CHOSES DE LA VIE,2018-03-26,France 5,France,0.929792,3.3,Monday,non,tt0064165,7.4,5790,1970,"Drama,Romance",89
LES FELINS,2018-09-10,France 5,France,0.87546,3.6,Monday,non,tt0058123,7.0,3130,1964,"Crime,Drama,Romance",97
LA MORT AUX TROUSSES,2018-12-27,Arte,Etats-Unis,1.692556,7.6,Thursday,oui,tt0053125,8.3,356528,1959,"Adventure,Drama,Mystery",136
PRESUME INNOCENT,2018-04-09,Arte,Etats-Unis,1.685248,6.4,Monday,oui,tt0100404,6.9,49275,1990,"Mystery,Thriller",127
21 NUITS AVEC PATTIE,2018-04-18,Arte,France,1.510912,6.2,Wednesday,oui,tt4022440,6.2,684,2015,"Comedy,Drama,Mystery",115
L'EVADE D'ALCATRAZ,2018-12-16,Arte,Etats-Unis,1.4591,5.7,Sunday,non,tt0079116,7.6,151145,1979,"Biography,Crime,Drama",112
LES VOLEURS,2018-10-22,Arte,France,1.4591,5.6,Monday,oui,tt0118100,6.7,2314,1996,"Crime,Drama,Romance",117
L'HEURE D'ETE,2018-01-17,Arte,France,1.4528,5.6,Wednesday,non,tt0836700,7.1,8311,2008,"Drama,Family",103
COUP DE TORCHON,2018-02-12,Arte,France,1.4528,5.4,Monday,oui,tt0082206,7.3,6919,1981,"Comedy,Crime,Drama",128
LES TROIS JOURS DU CONDOR,2018-03-04,Arte,Etats-Unis,1.4528,5.8,Sunday,non,tt0073802,7.4,64769,1975,"Crime,Mystery,Thriller",117
RIENS DU TOUT,2018-01-24,Arte,France,1.4528,5.5,Wednesday,non,tt0105260,6.4,913,1992,Comedy,95
ADIEU POULET,2018-06-10,Arte,France,1.400736,5.8,Sunday,non,tt0072603,6.9,1935,1975,"Crime,Drama",91
SISTER ACT,2018-03-04,6ter,Etats-Unis,0.987904,4.1,Sunday,non,tt0105417,6.5,111864,1992,"Comedy,Family,Music",100
PIRATES DES CARAIBES : LA FONTAINE DE JOUVENCE,2018-12-09,6ter,Etats-Unis,0.817096,3.4,Sunday,non,tt1298650,6.6,578058,2011,"Action,Adventure,Fantasy",136
LE GENDARME EN BALADE,2018-08-23,6ter,France,0.817096,4.3,Thursday,oui,tt0065769,6.5,7655,1970,"Comedy,Crime",107
LES INDESTRUCTIBLES,2018-04-08,6ter,Etats-Unis,0.813568,3.3,Sunday,oui,tt0317705,8.0,838379,2004,"Action,Adventure,Animation",115
"SISTER ACT, ACTE 2",2018-03-11,6ter,Etats-Unis,0.813568,3.2,Sunday,non,tt0108147,5.7,60514,1993,"Comedy,Family,Music",107
PIRATES DES CARAIBES : LA MALEDICTION DU BLACK PEARL,2018-12-02,6ter,Etats-Unis,0.758732,3.4,Sunday,non,tt0325980,8.1,1245178,2003,"Action,Adventure,Fantasy",143
LE GENDARME SE MARIE,2018-08-16,6ter,France,0.758732,4.0,Thursday,oui,tt0063005,6.8,8882,1968,"Comedy,Romance",92
JUST MARRIED (OU PRESQUE),2018-10-04,6ter,Etats-Unis,0.700368,3.3,Thursday,non,tt0163187,5.6,106513,1999,"Comedy,Romance",116
"ROBIN DES BOIS, PRINCE DES VOLEURS",2018-11-25,6ter,Europe,0.700368,3.2,Sunday,non,tt0102798,6.9,213313,1991,"Action,Adventure,Drama",143
LE GENDARME A NEW YORK,2018-08-09,6ter,France,0.700368,3.8,Thursday,oui,tt0060450,6.4,8674,1965,"Comedy,Crime",102
SEVEN,2018-01-08,C8,Etats-Unis,1.4528,6.5,Monday,oui,tt0114369,8.6,1866337,1995,"Crime,Drama,Mystery",127
SAN ANDREAS,2018-04-02,C8,Etats-Unis,1.394688,5.9,Monday,non,tt2126355,6.1,263290,2015,"Action,Adventure,Thriller",114
TERMINATOR : GENISYS,2018-04-09,C8,Etats-Unis,1.220352,5.3,Monday,oui,tt1340138,6.3,297659,2015,"Action,Adventure,Sci-Fi",126
LE DERNIER REMPART,2018-01-18,C8,Etats-Unis,1.220352,5.4,Thursday,non,tt1549920,6.3,147194,2013,"Action,Thriller,Western",107
"HUNGER GAMES : LA REVOLTE, PARTIE 2",2018-05-31,C8,Etats-Unis,1.16728,5.6,Thursday,non,tt1951266,6.6,386290,2015,"Action,Adventure,Sci-Fi",137
X-MEN : LE COMMENCEMENT,2018-03-01,C8,Etats-Unis,1.16224,5.5,Thursday,non,tt1270798,7.7,739733,2011,"Action,Sci-Fi",131
BABY-SITTOR,2018-02-22,C8,Etats-Unis,1.16224,5.1,Thursday,oui,tt0395699,5.6,102862,2005,"Action,Comedy,Drama",95
MARIAGE CHEZ LES BODIN'S,2018-11-20,C8,France,1.108916,5.1,Tuesday,non,tt1309463,5.6,65,2008,Comedy,82
SICARIO,2018-06-25,C8,Etats-Unis,1.108916,5.4,Monday,non,tt3397884,7.7,495810,2015,"Action,Crime,Drama",121
ARRETE-MOI SI TU PEUX,2018-03-05,C8,Etats-Unis,1.104128,5.8,Monday,non,tt0264464,8.1,1138770,2002,"Biography,Crime,Drama",141
"MILLENIUM, LE FILM",2018-05-24,Chérie 25,Europe,0.642004,3.4,Thursday,non,tt1132620,7.8,225507,2009,"Crime,Drama,Mystery",152
L'IVRESSE DU POUVOIR,2018-10-29,Chérie 25,France,0.642004,2.7,Monday,oui,tt0463486,6.3,3106,2006,Drama,110
APPARITIONS,2018-02-08,Chérie 25,Etats-Unis,0.639232,2.6,Thursday,non,tt0259288,6.1,40613,2002,"Drama,Fantasy,Mystery",104
THE OTHER MAN,2018-11-01,Chérie 25,Europe,0.58364,2.5,Thursday,oui,tt0974613,5.4,12582,2008,"Drama,Mystery,Thriller",88
BRAVEHEART,2018-11-08,Chérie 25,Etats-Unis,0.58364,3.1,Thursday,non,tt0112573,8.3,1115558,1995,"Biography,Drama,War",178
LE COLLECTIONNEUR,2018-05-17,Chérie 25,Etats-Unis,0.58364,2.5,Thursday,non,tt0119468,6.6,92806,1997,"Crime,Drama,Mystery",115
DOUBLE JEU,2018-03-01,Chérie 25,Etats-Unis,0.58112,2.3,Thursday,non,tt0150377,6.5,98602,1999,"Crime,Drama,Mystery",105
HAUTE VOLTIGE,2018-02-15,Chérie 25,Etats-Unis,0.58112,2.6,Thursday,oui,tt0137494,6.3,126000,1999,"Action,Crime,Romance",113
PLUS JAMAIS,2018-03-15,Chérie 25,Etats-Unis,0.58112,2.3,Thursday,non,tt0278435,5.8,49016,2002,"Crime,Drama,Thriller",115
LES PLEINS POUVOIRS,2018-04-05,Chérie 25,Etats-Unis,0.58112,2.7,Thursday,non,tt0118548,6.7,61611,1997,"Action,Crime,Drama",121
L'IMMORTEL,2018-11-29,CStar,France,0.817096,3.5,Thursday,non,tt1167638,6.6,36979,2010,"Action,Crime,Drama",117
IMOGENE MCCARTHERY,2018-05-03,CStar,France,0.758732,3.0,Thursday,non,tt1376421,5.4,376,2010,"Comedy,Crime,Mystery",82
HORS DE CONTROLE,2018-05-17,CStar,Etats-Unis,0.758732,3.4,Thursday,non,tt1226273,6.6,100685,2010,"Action,Adventure,Drama",117
"JOHNNY ENGLISH, LE RETOUR",2018-10-22,CStar,Europe,0.642004,2.4,Monday,oui,tt1634122,6.3,143955,2011,"Action,Adventure,Comedy",101
TRACERS,2018-03-08,CStar,Etats-Unis,0.639232,2.6,Thursday,non,tt2401097,5.6,20355,2015,"Action,Crime,Drama",94
LARA CROFT : TOMB RAIDER,2018-09-27,CStar,Etats-Unis,0.58364,2.6,Thursday,non,tt0146316,5.8,222750,2001,"Action,Adventure,Fantasy",100
LE FLIC DE SAN FRANCISCO,2018-05-24,CStar,Etats-Unis,0.58364,2.7,Thursday,non,tt0119664,5.6,29652,1997,"Action,Comedy,Crime",117
EN TERRITOIRE ENNEMI,2018-02-22,CStar,Etats-Unis,0.58112,2.4,Thursday,oui,tt0159273,6.4,115057,2001,"Action,Drama,Thriller",106
BABY-SITTOR,2018-11-22,CStar,Etats-Unis,0.525276,2.1,Thursday,non,tt0395699,5.6,102862,2005,"Action,Comedy,Drama",95
STAR TREK,2018-11-01,CStar,Etats-Unis,0.525276,2.6,Thursday,oui,tt0796366,7.9,626315,2009,"Action,Adventure,Sci-Fi",127
ALVIN ET LES CHIPMUNKS 3,2018-04-26,Gulli,Etats-Unis,0.813568,3.3,Thursday,non,tt1615918,4.4,41090,2011,"Adventure,Comedy,Family",87
MUNE,2018-04-30,Gulli,France,0.700368,2.6,Monday,non,tt3858372,7.1,8310,2014,"Adventure,Animation,Comedy",85
BEETHOVEN 2,2018-11-20,Gulli,Etats-Unis,0.642004,2.6,Tuesday,non,tt0106375,5.0,30300,1993,"Comedy,Family,Romance",89
PETER PAN,2018-12-11,Gulli,Etats-Unis,0.642004,2.5,Tuesday,non,tt0046183,7.3,157344,1953,"Adventure,Animation,Family",77
ALVIN ET LES CHIPMUNKS : A FOND LA CAISSE,2018-10-22,Gulli,Etats-Unis,0.58364,2.3,Monday,oui,tt2974918,4.9,23571,2015,"Adventure,Comedy,Family",92
DOCTEUR DOLITTLE 2,2018-12-04,Gulli,Etats-Unis,0.58364,2.4,Tuesday,non,tt0240462,4.7,48235,2001,"Comedy,Family,Fantasy",87
DOCTEUR DOLITTLE,2018-11-27,Gulli,Etats-Unis,0.525276,2.1,Tuesday,non,tt0118998,5.4,103990,1998,"Comedy,Family,Fantasy",85
ARTHUR ET LES MINIMOYS,2018-10-23,Gulli,France,0.525276,2.2,Tuesday,oui,tt0344854,6.0,42010,2006,"Adventure,Animation,Comedy",94
GARFIELD 2,2018-02-22,Gulli,Etats-Unis,0.523008,2.2,Thursday,oui,tt0455499,5.0,48669,2006,"Adventure,Comedy,Family",82
LA BELLE AU BOIS DORMANT ET LES 7 NAINS,2018-03-01,Gulli,Europe,0.523008,2.0,Thursday,non,tt2914892,4.6,1387,2014,"Adventure,Animation,Comedy",87
KISS AND KILL,2018-06-12,NRJ12,Etats-Unis,0.817096,3.4,Tuesday,non,tt7144296,2.9,1198,2017,"Drama,Mystery,Romance",81
LE PIC DE DANTE,2018-11-06,NRJ12,Etats-Unis,0.817096,3.4,Tuesday,non,tt0118928,6.0,102035,1997,"Action,Adventure,Thriller",108
SAHARA,2018-06-19,NRJ12,Europe,0.758732,3.5,Tuesday,non,tt0318649,6.1,105602,2005,"Action,Adventure,Comedy",124
LE CODE A CHANGE,2018-10-18,NRJ12,France,0.758732,3.3,Thursday,non,tt1193088,5.8,2150,2009,"Comedy,Drama",100
MISSION : IMPOSSIBLE,2018-06-26,NRJ12,Etats-Unis,0.758732,3.4,Tuesday,non,tt0117060,7.2,481598,1996,"Action,Adventure,Thriller",110
BLITZ,2018-11-22,NRJ12,Europe,0.758732,3.2,Thursday,non,tt1297919,6.1,93025,2011,"Action,Adventure,Crime",97
LES INCORRUPTIBLES ,2018-10-02,NRJ12,Etats-Unis,0.758732,3.3,Tuesday,non,tt0094226,7.8,338508,1987,"Crime,Drama,Thriller",119
"MILLENIUM, LE FILM",2018-01-14,NRJ12,Europe,0.755456,3.6,Sunday,non,tt1132620,7.8,225507,2009,"Crime,Drama,Mystery",152
L'ATTAQUE DU METRO 123,2018-02-13,NRJ12,Etats-Unis,0.755456,3.0,Tuesday,oui,tt1111422,6.4,211205,2009,"Action,Crime,Thriller",106
LES TROIS PROCHAINS JOURS,2018-04-03,NRJ12,Etats-Unis,0.755456,3.2,Tuesday,non,tt1458175,7.3,209956,2010,"Action,Crime,Drama",133
BANCS PUBLICS (VERSAILLES RIVE DROITE),2018-12-16,RMC Story,France,0.525276,2.0,Sunday,non,tt1156505,5.9,870,2009,"Comedy,Romance",110
DETECTIVE DEE 2 : LA LEGENDE DU DRAGON DES MERS,2018-12-30,RMC Story,,0.466912,2.1,Sunday,oui,tt2992146,6.4,5290,2013,"Action,Adventure,Drama",134
DES HOMMES SANS LOI,2018-10-14,RMC Story,Etats-Unis,0.466912,1.9,Sunday,non,tt1212450,7.2,256900,2012,"Biography,Crime,Drama",116
BLOOD DIAMOND,2018-11-18,RMC Story,Etats-Unis,0.408548,1.7,Sunday,non,tt0450259,8.0,599617,2006,"Adventure,Drama,Thriller",143
LE BAISER MORTEL DU DRAGON,2018-09-16,RMC Story,France,0.408548,1.8,Sunday,non,tt0271027,6.6,67591,2001,"Action,Crime,Thriller",98
L'AIGLE DE LA NEUVIEME LEGION,2018-09-30,RMC Story,Europe,0.408548,1.7,Sunday,non,tt1034389,6.2,75348,2011,"Action,Adventure,Drama",114
MASTER AND COMMANDER : DE L'AUTRE COTE DU MONDE,2018-10-07,RMC Story,Etats-Unis,0.350184,1.4,Sunday,non,tt0311113,7.5,243608,2003,"Action,Adventure,Drama",138
"LULU, FEMME NUE",2018-12-02,RMC Story,France,0.350184,1.4,Sunday,non,tt2593230,6.6,884,2013,"Comedy,Drama,Romance",84
POSEIDON,2018-11-25,RMC Story,Etats-Unis,0.350184,1.3,Sunday,non,tt0409182,5.7,112151,2006,"Action,Adventure,Thriller",98
MR. HOLMES,2018-10-21,RMC Story,Europe,0.29182,1.2,Sunday,oui,tt3168230,6.8,68940,2015,"Crime,Drama,Family",104
L'ARME FATALE 4,2018-04-05,TF1 Séries Films,Etats-Unis,1.220352,5.4,Thursday,non,tt0122151,6.6,175212,1998,"Action,Crime,Thriller",127
L'ARME FATALE 3,2018-03-29,TF1 Séries Films,Etats-Unis,1.220352,5.3,Thursday,non,tt0104714,6.7,182192,1992,"Action,Crime,Thriller",118
L'ARME FATALE 2,2018-03-22,TF1 Séries Films,Etats-Unis,0.987904,4.1,Thursday,non,tt0097733,7.3,193347,1989,"Action,Crime,Thriller",114
L'ARME FATALE,2018-03-15,TF1 Séries Films,Etats-Unis,0.987904,4.0,Thursday,non,tt0093409,7.6,283376,1987,"Action,Crime,Thriller",109
LE FUGITIF,2018-11-15,TF1 Séries Films,Etats-Unis,0.933824,4.4,Thursday,non,tt0106977,7.8,327806,1993,"Action,Crime,Drama",130
FURY,2018-01-29,TF1 Séries Films,Etats-Unis,0.929792,3.9,Monday,non,tt2713180,7.6,566952,2014,"Action,Drama,War",134
VOYAGE AU CENTRE DE LA TERRE 2 : L'ILE MYSTERIEUSE,2018-02-22,TF1 Séries Films,Etats-Unis,0.929792,3.9,Thursday,oui,tt1397514,5.7,114935,2012,"Action,Adventure,Comedy",94
CREANCE DE SANG,2018-02-05,TF1 Séries Films,Etats-Unis,0.87168,3.3,Monday,non,tt0309377,6.4,48840,2002,"Action,Crime,Drama",110
L'EFFACEUR,2018-03-25,TF1 Séries Films,Etats-Unis,0.87168,3.5,Sunday,non,tt0116213,6.2,120242,1996,"Action,Crime,Thriller",115
ANGES ET DEMONS,2018-04-22,TF1 Séries Films,Etats-Unis,0.87168,4.0,Sunday,oui,tt0808151,6.7,314667,2009,"Mystery,Thriller",138
BIENVENUE A MARLY-GOMONT,2018-12-30,TFX,France,1.225644,5.1,Sunday,oui,tt5555502,7.0,12134,2016,"Biography,Comedy,Drama",96
FAST AND FURIOUS VII,2018-01-30,TFX,Etats-Unis,0.987904,4.4,Tuesday,non,tt2820852,7.1,422392,2015,"Action,Thriller",137
OBLIVION,2018-02-15,TFX,Etats-Unis,0.987904,4.5,Thursday,oui,tt1483013,7.0,564155,2013,"Action,Adventure,Sci-Fi",124
ROBIN DES BOIS,2018-11-25,TFX,Europe,0.933824,4.0,Sunday,non,tt0955308,6.6,288365,2010,"Action,Adventure,Drama",140
LE PARI,2018-10-21,TFX,France,0.87546,3.4,Sunday,oui,tt0119863,6.3,4435,1997,Comedy,100
PALAIS ROYAL !,2018-05-22,TFX,France,0.87546,3.5,Tuesday,non,tt0424338,5.6,2217,2005,Comedy,110
GLADIATOR,2018-05-13,TFX,Etats-Unis,0.87546,3.9,Sunday,non,tt0172495,8.5,1710946,2000,"Action,Adventure,Drama",155
JOKER,2018-10-07,TFX,Etats-Unis,0.87546,3.5,Sunday,non,tt7286456,8.3,1572597,2019,"Crime,Drama,Thriller",122
FAST AND FURIOUS V,2018-02-06,TFX,Etats-Unis,0.87168,3.7,Tuesday,non,tt1596343,7.3,415669,2011,"Action,Crime,Thriller",130
VOISINS DU TROISIEME TYPE,2018-11-08,TFX,Etats-Unis,0.817096,3.6,Thursday,non,tt1298649,5.7,134398,2012,"Comedy,Sci-Fi",102
JURASSIC WORLD,2018-11-26,TMC,Etats-Unis,1.809284,7.8,Monday,non,tt0369610,6.9,693217,2015,"Action,Adventure,Sci-Fi",124
LE TRANSPORTEUR II,2018-04-02,TMC,France,1.627136,6.3,Monday,non,tt0388482,6.3,219158,2005,"Action,Thriller",87
JURASSIC PARK III,2018-12-17,TMC,Etats-Unis,1.4591,6.0,Monday,non,tt0163025,5.9,348040,2001,"Action,Adventure,Sci-Fi",92
SALT,2018-03-08,TMC,Etats-Unis,1.4528,6.1,Thursday,non,tt0944835,6.5,335052,2010,"Action,Thriller",100
HARRY POTTER ET LA COUPE DE FEU,2018-04-23,TMC,Europe,1.4528,7.8,Monday,oui,tt0330373,7.7,704101,2005,"Adventure,Family,Fantasy",157
HARRY POTTER ET LE PRISONNIER D'AZKABAN,2018-04-16,TMC,Europe,1.4528,6.3,Monday,oui,tt0304141,7.9,715692,2004,"Adventure,Family,Fantasy",142
LE MONDE PERDU,2018-12-10,TMC,Etats-Unis,1.400736,6.2,Monday,non,tt0119567,6.6,453413,1997,"Action,Adventure,Sci-Fi",129
AVENGERS : L'ERE D'ULTRON,2018-04-26,TMC,Etats-Unis,1.394688,7.0,Thursday,non,tt2395427,7.3,945763,2015,"Action,Adventure,Sci-Fi",141
EXPENDABLES 3,2018-10-08,TMC,Etats-Unis,1.342372,6.6,Monday,non,tt2333784,6.1,199651,2014,"Action,Adventure,Comedy",126
STAR WARS EPISODE 7 : LE REVEIL DE LA FORCE,2018-11-19,TMC,Etats-Unis,1.342372,6.4,Monday,non,tt2488496,7.8,989898,2015,"Action,Adventure,Sci-Fi",138
RED,2018-11-12,W9,Etats-Unis,2.04274,8.7,Monday,non,tt1245526,7.0,329716,2010,"Action,Comedy,Crime",111
RED 2,2018-11-19,W9,Etats-Unis,1.926012,7.9,Monday,non,tt1821694,6.6,183796,2013,"Action,Comedy,Crime",116
RASTA ROCKETT,2018-03-01,W9,Etats-Unis,1.74336,7.1,Thursday,non,tt0106611,7.0,116615,1993,"Adventure,Comedy,Family",98
KINGSMAN : SERVICES SECRETS,2018-06-10,W9,Europe,1.634192,7.4,Sunday,non,tt2802144,7.7,739743,2014,"Action,Adventure,Comedy",129
DIVERGENTE 3 : AU-DELA DU MUR,2018-10-29,W9,Etats-Unis,1.575828,6.6,Monday,oui,tt3410834,5.7,138637,2016,"Action,Adventure,Mystery",120
LA CHUTE DE LA MAISON BLANCHE,2018-01-29,W9,Etats-Unis,1.510912,6.1,Monday,non,tt2302755,6.5,297521,2013,"Action,Thriller",119
IRON MAN 3,2018-12-03,W9,Etats-Unis,1.4591,6.1,Monday,non,tt1300854,7.1,919465,2013,"Action,Adventure,Sci-Fi",130
PREMONITIONS,2018-03-26,W9,Etats-Unis,1.4528,5.5,Monday,non,tt0477071,5.9,82747,2007,"Drama,Fantasy,Mystery",96
DIVERGENTE 2 : L'INSURRECTION,2018-10-22,W9,Etats-Unis,1.400736,5.6,Monday,oui,tt2908446,6.2,261077,2015,"Action,Adventure,Sci-Fi",119
LE FLIC DE BEVERLY HILLS,2018-01-02,W9,Etats-Unis,1.394688,5.4,Tuesday,oui,tt0086960,7.4,220975,1984,"Action,Comedy,Crime",105
QU'EST-CE QU ON A FAIT AU BON DIEU,2018-12-09,TF1,France,8.637872,34.0,Sunday,non,tt2800240,7.0,46366,2014,Comedy,97
LES TUCHE,2018-02-04,TF1,France,7.670784,28.8,Sunday,non,tt1793931,5.4,4063,2011,Comedy,95
RIEN A DECLARER,2018-03-11,TF1,France,7.147776,28.8,Sunday,non,tt1528313,6.4,15530,2010,Comedy,108
RETOUR CHEZ MA MERE,2018-10-07,TF1,France,6.828588,27.3,Sunday,non,tt5115024,5.8,2396,2016,"Comedy,Drama",97
LE NOUVEAU STAGIAIRE,2018-03-25,TF1,Etats-Unis,6.508544,27.0,Sunday,non,tt2361509,7.1,287052,2015,"Comedy,Drama",121
LE LABYRINTHE,2018-02-11,TF1,Etats-Unis,6.217984,24.7,Sunday,oui,tt1790864,6.8,526892,2014,"Mystery,Sci-Fi,Thriller",113
EYJAFJALLAJOKULL,2018-05-13,TF1,France,6.186584,25.1,Sunday,non,tt2207072,5.6,4456,2013,Comedy,92
LE LABYRINTHE : LA TERRE BRULEE,2018-02-18,TF1,Etats-Unis,6.10176,25.8,Sunday,oui,tt4046784,6.3,287146,2015,"Action,Adventure,Sci-Fi",131
LES TUCHE II,2018-11-25,TF1,France,6.011492,24.2,Sunday,non,tt4926538,4.9,1973,2016,Comedy,94
L'AGE DE GLACE V,2018-12-23,TF1,Etats-Unis,5.778036,23.6,Sunday,oui,tt3416828,5.7,78906,2016,"Adventure,Animation,Comedy",94
CENDRILLON,2018-01-04,M6,Europe,4.474624,18.5,Thursday,oui,tt1661199,6.9,194708,2015,"Adventure,Drama,Family",105
A LA POURSUITE DE DEMAIN,2018-01-01,M6,Etats-Unis,4.06784,17.3,Monday,oui,tt1964418,6.4,194279,2015,"Action,Adventure,Family",130
ASTERIX : LE DOMAINE DES DIEUX,2018-12-25,M6,France,3.910388,17.8,Tuesday,oui,tt3759416,6.9,15835,2014,"Adventure,Animation,Comedy",85
RED 2,2018-03-19,M6,Etats-Unis,3.48672,14.1,Monday,non,tt1821694,6.6,183796,2013,"Action,Comedy,Crime",116
RATATOUILLE,2018-04-30,M6,Etats-Unis,3.385112,13.9,Monday,non,tt0382932,8.1,863636,2007,"Adventure,Animation,Comedy",111
BELLE ET SEBASTIEN,2018-02-13,M6,France,3.370496,13.9,Tuesday,oui,tt3146360,6.9,5718,2013,"Adventure,Drama,Family",104
VICE-VERSA,2018-04-01,M6,Etats-Unis,3.370496,13.9,Sunday,non,tt2096673,8.1,847228,2015,"Adventure,Animation,Comedy",95
RED,2018-03-12,M6,Etats-Unis,3.138048,12.8,Monday,non,tt1245526,7.0,329716,2010,"Action,Comedy,Crime",111
DIE HARD 4 : RETOUR EN ENFER,2018-05-14,M6,Etats-Unis,2.9182,13.0,Monday,non,tt0337978,7.1,426225,2007,"Action,Thriller",128
BABYSITTING 2,2018-04-24,M6,France,2.9056,11.6,Tuesday,non,tt4400058,6.4,7726,2015,Comedy,93
LES TUCHE 3,2018-12-28,Canal +,France,1.75092,7.5,Friday,oui,tt7066382,4.7,1533,2018,Comedy,95
A FOND,2018-01-01,Canal +,France,0.987904,3.8,Monday,oui,tt4993964,5.8,3824,2016,"Action,Comedy",91
THOR : RAGNAROK,2018-09-07,Canal +,Etats-Unis,0.933824,4.3,Friday,non,tt3501632,7.9,840843,2017,"Action,Adventure,Comedy",130
LE ROI ARTHUR : LA LEGENDE D'EXCALIBUR,2018-04-13,Canal +,Europe,0.929792,3.8,Friday,oui,tt1972591,6.7,237744,2017,"Action,Adventure,Drama",126
ALIBI.COM,2018-01-19,Canal +,France,0.929792,3.7,Friday,non,tt5657028,6.5,10494,2016,"Comedy,Romance",89
STAR WARS : LES DERNIERS JEDI,2018-12-14,Canal +,Etats-Unis,0.87546,4.5,Friday,non,tt2527336,6.9,686689,2017,"Action,Adventure,Fantasy",152
LE CRIME DE L'ORIENT-EXPRESS,2018-11-09,Canal +,Europe,0.87546,3.9,Friday,non,tt3402236,6.5,305938,2017,"Crime,Drama,Mystery",114
KONG : SKULL ISLAND,2018-01-12,Canal +,Etats-Unis,0.87168,3.6,Friday,non,tt3731562,6.7,358494,2017,"Action,Adventure,Fantasy",118
WONDER WOMAN,2018-06-08,Canal +,Europe,0.817096,3.9,Friday,non,tt0451279,7.3,712689,2017,"Action,Adventure,Fantasy",141
DUNKERQUE,2018-06-29,Canal +,Europe,0.700368,3.6,Friday,non,tt5013056,7.8,761037,2017,"Action,Drama,History",106
LA GRANDE VADROUILLE,2019-04-21,France 2,France,4.727484,22.0,Sunday,oui,tt0060474,7.9,20921,1966,"Adventure,Comedy,War",132
GONE GIRL,2019-02-03,France 2,Etats-Unis,4.027116,17.7,Sunday,non,tt2267998,8.1,1101108,2014,"Drama,Mystery,Thriller",149
IL A DEJA TES YEUX,2019-06-09,France 2,France,3.94604,18.4,Sunday,non,tt5256722,6.2,3364,2016,Comedy,95
NIGHT AND DAY,2019-02-10,France 2,Etats-Unis,3.910388,16.0,Sunday,oui,tt1013743,6.3,213899,2010,"Action,Adventure,Comedy",109
LE CORNIAUD,2019-03-03,France 2,France,3.79366,15.7,Sunday,non,tt0057967,7.3,8322,1965,"Adventure,Comedy,Crime",111
JACK REACHER : NEVER GO BACK,2019-03-24,France 2,Etats-Unis,3.618568,15.5,Sunday,non,tt3393786,6.2,182459,2016,"Action,Drama,Thriller",118
TELLEMENT PROCHES,2019-12-01,France 2,France,3.59786,15.0,Sunday,non,tt1404082,6.4,1765,2009,"Comedy,Drama",102
